DATE,TIME,当日実績(万kW),
2019/8/27,0:00,252,
2019/8/27,1:00,249,
2019/8/27,2:00,258,
2019/8/27,3:00,277,
2019/8/27,4:00,281,
2019/8/27,5:00,270,
2019/8/27,6:00,269,
2019/8/27,7:00,277,
2019/8/27,8:00,305,
2019/8/27,9:00,331,
2019/8/27,10:00,340,
2019/8/27,11:00,348,
2019/8/27,12:00,324,
2019/8/27,13:00,340,
2019/8/27,14:00,342,
2019/8/27,15:00,347,
2019/8/27,16:00,362,
2019/8/27,17:00,360,
2019/8/27,18:00,363,
2019/8/27,19:00,359,
2019/8/27,20:00,336,
2019/8/27,21:00,312,
2019/8/27,22:00,291,
2019/8/27,23:00,278,
